Taxa	Taxid	Kingdom	Phylum	Class	Order	Family
f__Caryophyllaceae	3568	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Caryophyllales	f__Caryophyllaceae
f__Salicaceae	3688	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Malpighiales	f__Salicaceae
c__Bryopsida	3214	k__Eukaryota	p__Streptophyta	c__Bryopsida	NA	NA
o__Ericales	41945	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Ericales	NA
f__Poaceae	4479	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae
f__Cyperaceae	4609	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Cyperaceae
f__Brassicaceae	3700	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Brassicales	f__Brassicaceae
o__Other_Lamiaceae	NA	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Other_Lamiaceae	NA
f__Isoetaceae	13837	k__Eukaryota	p__Streptophyta	c__Lycopodiopsida	o__Isoetales	f__Isoetaceae
f__Lentibulariaceae	4196	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Lamiales	f__Lentibulariaceae
o__Other_Malpighiales	NA	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Other_Malpighiales	NA
f__Polygonaceae	3615	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Caryophyllales	f__Polygonaceae
f__Boraginaceae	21571	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Boraginales	f__Boraginaceae
o__Fagales	3502	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Fagales	NA
c__Pinopsida	58019	k__Eukaryota	p__Streptophyta	c__Pinopsida	NA	NA
f__Fabaceae	3803	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae
o__Saxifragales	41946	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Saxifragales	NA
f__Droseraceae	4360	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Caryophyllales	f__Droseraceae
f__Asteraceae	4210	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Asterales	f__Asteraceae
f__Plantaginaceae	156152	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Lamiales	f__Plantaginaceae
o__Rosales	3744	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Rosales	NA
f__Juncaceae	14101	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Juncaceae
o__Apiales	4036	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Apiales	NA
o__Marchantiales	28908	k__Eukaryota	p__Streptophyta	c__Marchantiopsida	o__Marchantiales	NA
o__Alismatales	16360	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Alismatales	NA
f__Rubiaceae	24966	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Gentianales	f__Rubiaceae
o__Polypodiales	3268	k__Eukaryota	p__Streptophyta	c__Polypodiopsida	o__Polypodiales	NA
o__Asparagales	73496	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Asparagales	NA
o__Sphagnales	13802	k__Eukaryota	p__Streptophyta	c__Sphagnopsida	o__Sphagnales	NA
f__Lycopodiaceae	3250	k__Eukaryota	p__Streptophyta	c__Lycopodiopsida	o__Lycopodiales	f__Lycopodiaceae
o__Ranunculales	41768	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Ranunculales	NA
f__Selaginellaceae	3245	k__Eukaryota	p__Streptophyta	c__Lycopodiopsida	o__Selaginellales	f__Selaginellaceae
