"Id","Latitude","Longitude","Perzone"
"AAB-S01R1",65.677137,-37.914921,"Isolated"
"AAB-S01R2",65.677173,-37.914875,"Isolated"
"AAB-S01R3",65.677218,-37.914956,"Isolated"
"AAB-S01R4",65.677193,-37.914988,"Isolated"
"AAB-S01R5",65.677182,-37.914924,"Isolated"
"AAB-S02R1",65.677505,-37.912336,"Isolated"
"AAB-S02R2",65.677496,-37.912192,"Isolated"
"AAB-S02R3",65.677474,-37.912302,"Isolated"
"AAB-S02R4",65.677427,-37.912078,"Isolated"
"AAB-S02R5",65.677406,-37.912189,"Isolated"
"AAB-S03R1",65.677566,-37.910668,"Isolated"
"AAB-S03R2",65.67754,-37.910749,"Isolated"
"AAB-S03R3",65.677494,-37.910583,"Isolated"
"AAB-S03R4",65.677527,-37.910517,"Isolated"
"AAB-S03R5",65.677504,-37.910778,"Isolated"
"AAB-S04R1",65.67787,-37.908455,"Isolated"
"AAB-S04R2",65.677925,-37.908394,"Isolated"
"AAB-S04R3",65.677874,-37.908327,"Isolated"
"AAB-S04R4",65.67791,-37.908302,"Isolated"
"AAB-S04R5",65.677833,-37.908449,"Isolated"
"AAB-S05R1",65.678084,-37.905575,"Isolated"
"AAB-S05R2",65.678006,-37.905522,"Isolated"
"AAB-S05R3",65.678018,-37.905495,"Isolated"
"AAB-S05R4",65.678041,-37.905567,"Isolated"
"AAB-S05R5",65.678023,-37.905653,"Isolated"
"AAB-S06R1",65.678546,-37.901379,"Isolated"
"AAB-S06R2",65.678479,-37.901654,"Isolated"
"AAB-S06R3",65.678469,-37.90158,"Isolated"
"AAB-S06R4",65.67851,-37.90148,"Isolated"
"AAB-S06R5",65.678518,-37.901359,"Isolated"
"AAB-S07R1",65.678459,-37.899066,"Isolated"
"AAB-S07R2",65.678502,-37.89889,"Isolated"
"AAB-S07R3",65.678424,-37.89912,"Isolated"
"AAB-S07R4",65.678413,-37.899051,"Isolated"
"AAB-S07R5",65.678433,-37.899088,"Isolated"
"AAB-S08R1",65.678367,-37.895913,"Isolated"
"AAB-S08R2",65.678317,-37.895807,"Isolated"
"AAB-S08R3",65.678309,-37.896078,"Isolated"
