virus_id	length	topology	n_genes	virus_score	n_hallmarks	marker_enrichment	taxonomy	completeness	checkv_quality	PhaTYP	class	vcontact_family	phagcn_family	anti_CRISPR_id	tRNA_num	Host_Phylum	CRISPR
AAB-S01R1_k55_1344137	25988	No terminal repeats	38	0.995	7	32.6958	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.13	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S01R1_k55_3479939	42284	DTR	69	0.9932	11	54.3051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Straboviridae	NA	NA	p__Proteobacteria	No
AAB-S01R1_k55_2055243	64141	DTR	95	0.9928	3	30.4065	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	50.25	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Bacteroidota	No
AAB-S01R1_k55_7766143	43159	No terminal repeats	54	0.9917	4	21.9517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	88.94	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R1_k55_8995509	35649	No terminal repeats	53	0.9914	7	19.7096	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	85.95	Medium-quality	virulent	c__Caudoviricetes	NA	Kyanoviridae	NA	NA	p__Firmicutes	No
AAB-S01R1_k55_148751	38077	No terminal repeats	57	0.9905	3	17.008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	92.66	High-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	anti_CRISPR1019	NA	p__Actinobacteriota	No
AAB-S01R1_k55_6158881	28920	No terminal repeats	33	0.9904	4	15.3243	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	69.81	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R1_k55_9987408	58719	DTR	84	0.9891	4	19.3622	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	74.77	Medium-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Proteobacteria	No
AAB-S01R1_k55_9034170	92057	DTR	145	0.9884	6	43.0995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R1_k55_9987407	41156	DTR	68	0.9878	2	17.6135	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
