ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3000005	36014	Glycopeptide	vanD	AAM09849.1	AY082011.1	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanD	1032
ARO:3000010	36019	Glycopeptide	vanA	AAA65956.1	M97297.1	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanA	1032
ARO:3000013	36022	Glycopeptide	vanB	AHH83938.1	KF823969.1	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanB	1029
ARO:3000024	36033	Fluoroquinolone	patA	AAK76137.1	AE005672.3	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	patA	1695
ARO:3000025	36034	Fluoroquinolone	patB	AAK76136.1	AE005672.3	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	patB	1767
ARO:3000026	36035	Multidrug	mepA	AAU95768.1	AY661734.1	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux	mepA	1356
ARO:3000027	36036	Fluoroquinolone	emrA	BAA16547.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	emrA	1173
ARO:3000074	36213	Fluoroquinolone	emrB	AAC75733.1	U00096.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	emrB	1539
ARO:3000118	36257	Multidrug	vgaB	AAB95639.1	U82085.2	vga-type ABC-F protein	pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target protection	vgaB	1659
ARO:3000124	36263	Beta-lactams	mecI	BAB41258.1	BA000018.3	methicillin resistant PBP2	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target replacement	mecI	372
ARO:3000149	36288	Phosphonic acid	FosA	AAG04518.1	AE004091.2	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosA	408
ARO:3000165	36304	Tetracycline	tet(A)	AAN06707.1	AF534183.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(A)	1275
ARO:3000166	36305	Tetracycline	tet(B)	BAC67143.1	AB089595.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(B)	1206
ARO:3000167	36306	Tetracycline	tet(C)	AAK97755.1	AY043299.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(C)	1191
ARO:3000168	36307	Tetracycline	tet(D)	AAL75563.1	AF467077.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(D)	1185
ARO:3000172	36311	Phosphonic acid	FosB	AAP08996.1	AE016877.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosB	417
ARO:3000173	36312	Tetracycline	tet(E)	AAA71915.1	L06940.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(E)	1218
ARO:3000174	36313	Tetracycline	tet(G)	AAD25538.1	AF133139.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(G)	1176
ARO:3000175	36314	Tetracycline	tet(H)	CAA75663.1	Y15510.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(H)	1203
ARO:3000177	36316	Tetracycline	tet(J)	AAD12753.1	AF038993.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(J)	1197
ARO:3000179	36318	Tetracycline	tet(L)	AAA22851.1	M11036.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(L)	1377
ARO:3000180	36319	Tetracycline	tetA(P)	AAA20116.1	L20800.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetA(P)	1263
ARO:3000181	36320	Tetracycline	tet(V)	AAB84282.1	AF030344.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(V)	1260
ARO:3000182	36321	Tetracycline	tet(Y)	AAC72341.1	AF070999.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(Y)	1176
ARO:3000183	36322	Tetracycline	tet(Z)	AAD25063.1	AF121000.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(Z)	1155
ARO:3000186	36325	Tetracycline	tet(M)	BAB82500.1	AB039845.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(M)	1920
ARO:3000190	36329	Tetracycline	tet(O)	AAA23033.2	M18896.2	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O)	1920
ARO:3000191	36330	Tetracycline	tet(Q)	CAA79727.1	Z21523.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(Q)	1974
ARO:3000192	36331	Tetracycline	tet(S)	AAA25293.1	L09756.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(S)	1926
ARO:3000193	36332	Tetracycline	tet(T)	AAF01499.1	L42544.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(T)	1956
ARO:3000194	36333	Tetracycline	tet(W)	CAA10975.1	AJ222769.3	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(W)	1920
ARO:3000195	36334	Tetracycline	tetB(P)	AAA20117.1	L20800.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tetB(P)	1959
ARO:3000196	36335	Tetracycline	tet(32)	ACH87088.1	EU722333.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(32)	1920
ARO:3000197	36336	Tetracycline	tet(36)	CAD55718.1	AJ514254.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(36)	1923
ARO:3000198	36337	Phosphonic acid	FosX	CWV56762.1	FFFO01000009.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosX	402
ARO:3000205	36344	Multidrug	tet(X)	AAA27471.1	M37699.1	tetracycline inactivation enzyme	glycylcycline;tetracycline antibiotic	antibiotic inactivation	tet(X)	1167
ARO:3000206	36345	Tetracycline	emrK	BAA11236.1	D78168.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	emrK	1056
ARO:3000215	36354	Beta-lactams	mecR1	ABQ47844.1	CP000703.1	methicillin resistant PBP2	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target replacement	mecR1	1758
ARO:3000216	36355	Multidrug	acrB	AAC73564.1	U00096.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	acrB	3150
ARO:3000217	36356	Beta-lactams	blaR1	ABU39979.1	EF540343.1	BlaZ beta-lactamase	penicillin beta-lactam	antibiotic inactivation	blaR1	1767
ARO:3000230	36369	Aminoglycoside	ANT(2'')-Ia	AAC64365.1	AF078527.1	ANT(2'')	aminoglycoside antibiotic	antibiotic inactivation	ANT(2'')-Ia	534
ARO:3000237	36376	Multidrug	TolC	ACN32294.1	FJ768952.1	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	TolC	1488
ARO:3000245	36384	Rifamycin	RbpA	ADV91011.1	HQ203032.1	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection	RbpA	345
ARO:3000251	36390	MLS	msrA	CAA36304.1	X52085.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection	msrA	1467
ARO:3000254	36393	Tetracycline	emrY	BAA11237.1	D78168.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	emrY	1539
ARO:3000263	36402	Multidrug	marA	BAA15221.2	AP009048.1	General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;monobactam;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux;reduced permeability to antibiotic	marA	384
ARO:3000300	36439	Multidrug	lsaA	AAO43110.1	AY225127.1	lsa-type ABC-F protein	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection	lsaA	1497
ARO:3000316	36455	MLS	mphA	BAA03776.1	D16251.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphA	906
ARO:3000319	36458	MLS	mphC	BAA34540.1	AB013298.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphC	900
ARO:3000326	36465	MLS	ErmE	CAB60001.1	X51891.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmE	1146
ARO:3000343	36482	Tetracycline	tap	CAA03986.1	AJ000283.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tap	1230
ARO:3000347	36486	MLS	ErmA	CAA26964.1	X03216.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmA	732
ARO:3000361	36500	MLS	EreA	AAO38247.1	AY183453.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation	EreA	1221
ARO:3000363	36502	MLS	EreB	CAA27626.1	X03988.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation	EreB	1260
ARO:3000368	36507	Glycopeptide	vanC	AAA24786.1	AF162694.1	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanC	1032
ARO:3000375	36514	MLS	ErmB	AAF86219.1	AF242872.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmB	747
ARO:3000377	36516	Multidrug	MexA	AAG03814.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	MexA	1152
ARO:3000378	36517	Multidrug	MexB	AAA74437.1	L11616.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	MexB	3141
ARO:3000379	36518	Multidrug	OprM	AAG03816.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	OprM	1458
ARO:3000380	36519	Phosphonic acid	FosC	CAA83855.1	Z33413.1	fosC phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation	FosC	549
ARO:3000391	36530	Multidrug	norA	AAS68233.1	AY566250.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	norA	1164
ARO:3000392	36531	MLS	Erm(37)	CCP44758.1	AL123456.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(37)	540
ARO:3000410	36549	Multidrug	sul1	AEJ33969.1	JF969163.1	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	sul1	840
ARO:3000412	36551	Multidrug	sul2	AAL59753.1	AY055428.1	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	sul2	816
ARO:3000413	36552	Multidrug	sul3	ACJ63260.1	FJ196385.1	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	sul3	792
ARO:3000421	36560	Fluoroquinolone	norB	CCQ22388.1	HE999704.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	norB	1401
ARO:3000444	36583	Rifamycin	rphA	AIA08936.1	KJ151292.1	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation	rphA	2598
ARO:3000448	36587	Fluoroquinolone	QepA1	AEZ36150.1	JQ064560.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	QepA1	1536
ARO:3000462	36601	MLS	mgtA	ABA28305.2	DQ185434.2	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation	mgtA	1257
ARO:3000463	36602	MLS	gimA	CAA11707.1	AJ223970.1	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation	gimA	1254
ARO:3000476	36615	Tetracycline	tet(31)	CAC80727.1	AJ250203.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(31)	1233
ARO:3000478	36617	Tetracycline	tet(33)	CAD12227.2	AJ420072.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(33)	1224
ARO:3000481	36620	Tetracycline	tet(35)	AAK37619.1	AF353562.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(35)	1110
ARO:3000491	36630	Aminoglycoside	acrD	BAA16344.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	acrD	3114
ARO:3000495	36634	MLS	ErmD	AAA22597.1	L08389.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmD	864
ARO:3000498	36637	MLS	ErmF	AAA88675.1	M17124.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmF	801
ARO:3000499	36638	Multidrug	AcrE	AAC76297.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;penicillin beta-lactam	antibiotic efflux	AcrE	1158
ARO:3000501	36640	Multidrug	rpoB2	BAD59497.1	AP006618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	rpoB2	3489
ARO:3000502	36641	Multidrug	AcrF	AAC76298.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;penicillin beta-lactam	antibiotic efflux	AcrF	3105
ARO:3000504	36643	Multidrug	golS	AAL19308.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol antibiotic	antibiotic efflux	golS	465
ARO:3000506	36645	Multidrug	MexR	AAG03813.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration	MexR	444
ARO:3000508	36647	Multidrug	gadX	BAE77778.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	gadX	825
ARO:3000510	36649	Mupirocin-like	Staphylococcus aureus mupB conferring resistance to mupirocin	AEY83581.1	JQ231224.1	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration	Saur_mupB_MUP	3102
ARO:3000516	36655	Fluoroquinolone	emrR	AAC75731.1	U00096.3	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	emrR	531
ARO:3000518	36657	Multidrug	CRP	BAE77933.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	CRP	633
ARO:3000521	36660	Mupirocin-like	Staphylococcus aureus mupA conferring resistance to mupirocin	CAA53189.1	X75439.1	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration	Saur_mupA_MUP	3075
ARO:3000522	36661	MLS	ErmG	AAC37034.1	L42817.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmG	735
ARO:3000526	36665	Multidrug	cmeR	CAL34518.1	AL111168.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic	antibiotic efflux	cmeR	633
ARO:3000533	36672	MLS	macA	AAV85981.1	AY768531.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	macA	1179
ARO:3000535	36674	MLS	macB	AAV85982.1	AY768532.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	macB	1935
ARO:3000549	36688	Multidrug	adeS	ADM92606.1	HM440348.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	adeS	1086
ARO:3000553	36692	Multidrug	adeR	ADM92605.1	HM440348.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	adeR	744
ARO:3000556	36695	Tetracycline	tet(44)	CBH51823.1	FN594949.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(44)	1923
ARO:3000559	36698	Multidrug	adeN	AGV28567.1	KF147862.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	adeN	654
ARO:3000561	36700	Tetracycline	tet(30)	AAD09860.1	AF090987.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(30)	1185
