ID	NRPS	Terpene	Others	RiPPs	Other PKSs	PKS-NRP_Hybrids	PKSI	Saccharides
AAB-S01R1_155	2	0	0	1	1	0	0	0
AAB-S01R1_173	3	1	0	0	1	4	1	0
AAB-S01R1_175	1	0	0	0	0	0	0	0
AAB-S01R1_185	1	2	0	1	1	0	0	0
AAB-S01R1_214	2	1	0	1	1	1	0	0
AAB-S01R1_22	2	1	0	0	1	1	0	0
AAB-S01R1_244	1	2	1	0	0	0	0	0
AAB-S01R1_261	5	1	0	2	1	0	1	0
AAB-S01R1_39	3	1	0	1	0	1	1	0
AAB-S01R1_59	6	0	1	0	0	2	3	0
AAB-S01R1_85	1	0	0	0	0	0	0	0
AAB-S01R1_86	1	0	0	0	0	0	0	0
AAB-S01R1_89	3	0	0	1	1	0	0	0
AAB-S01R2_112	1	0	0	0	0	0	0	0
AAB-S01R2_41	2	1	0	0	0	0	0	0
AAB-S01R2_59	4	0	0	1	1	0	0	0
AAB-S01R3_135	1	0	0	0	0	0	0	0
AAB-S01R3_146	1	0	0	2	1	0	0	0
AAB-S01R3_148	1	1	0	0	0	0	0	0
AAB-S01R3_160	2	0	0	0	0	0	0	0
AAB-S01R3_177	2	1	1	0	1	0	0	0
AAB-S01R3_2	2	0	0	1	0	0	0	0
AAB-S01R3_225	1	1	0	0	1	0	0	0
AAB-S01R3_24	3	0	0	0	0	0	0	0
AAB-S01R3_240	1	1	2	1	0	0	0	0
AAB-S01R3_25	1	1	0	0	1	0	0	0
AAB-S01R3_282	2	0	0	0	1	0	0	0
AAB-S01R3_31	1	0	0	0	0	0	0	0
AAB-S01R3_32	7	1	2	1	0	6	1	0
AAB-S01R3_47	1	2	1	0	0	0	0	0
AAB-S01R3_48	3	1	0	0	0	0	0	0
AAB-S01R3_52	2	0	1	2	1	0	1	0
AAB-S01R3_64	1	0	1	0	0	0	0	0
AAB-S01R3_69	1	1	0	0	0	1	0	0
AAB-S01R3_80	2	1	0	1	0	1	0	0
AAB-S01R3_82	1	0	0	0	0	0	0	0
AAB-S01R3_92	2	1	2	0	0	0	0	0
AAB-S01R3_99	1	1	1	0	0	0	0	0
AAB-S01R4_121	3	0	0	0	0	0	0	0
AAB-S01R4_169	1	1	1	1	0	2	0	0
AAB-S01R4_215	1	1	4	1	1	0	0	0
AAB-S01R4_224	2	0	0	0	0	0	0	0
AAB-S01R4_247	1	0	0	1	0	0	0	0
AAB-S01R4_252	1	0	0	0	0	0	0	0
AAB-S01R4_26	2	1	0	0	0	0	0	0
AAB-S01R4_284	3	0	0	0	0	0	0	0
AAB-S01R4_30	3	0	0	1	1	0	0	0
AAB-S01R4_66	2	1	0	1	0	5	5	0
AAB-S01R4_77	3	1	1	0	0	0	1	0
AAB-S01R4_82	6	0	2	1	0	2	0	0
AAB-S01R5_100	1	1	1	2	1	1	1	0
AAB-S01R5_11	2	1	0	0	1	1	0	0
AAB-S01R5_126	1	1	0	0	0	0	1	0
AAB-S01R5_157	3	1	0	0	0	4	3	0
AAB-S01R5_159	3	0	0	0	0	0	0	0
AAB-S01R5_169	1	0	0	0	0	0	0	0
AAB-S01R5_17	1	0	0	0	0	0	0	0
AAB-S01R5_175	3	1	0	2	0	1	0	0
AAB-S01R5_177	1	0	2	2	0	0	0	0
AAB-S01R5_18	2	0	1	1	0	0	1	0
AAB-S01R5_220	2	0	2	0	0	1	0	0
AAB-S01R5_224	5	2	0	3	1	0	2	0
AAB-S01R5_225	1	0	0	0	0	1	0	0
AAB-S01R5_226	2	0	0	0	0	0	0	0
AAB-S01R5_229	1	0	2	2	0	0	0	0
AAB-S01R5_23	1	0	0	0	0	0	0	0
AAB-S01R5_24	2	0	0	1	0	1	0	0
AAB-S01R5_39	1	1	1	1	1	0	0	0
AAB-S01R5_43	1	0	2	0	1	0	0	0
AAB-S02R1_35	2	1	1	0	1	0	0	0
AAB-S02R1_42	1	2	1	1	1	0	0	0
AAB-S02R1_44	2	0	0	2	1	0	0	0
AAB-S02R1_45	1	1	0	3	1	0	0	0
AAB-S02R2_116	1	0	1	0	0	0	0	0
AAB-S02R2_124	3	1	0	5	0	2	1	0
AAB-S02R2_141	2	0	4	3	1	0	0	0
AAB-S02R2_152	1	1	0	3	1	0	0	0
AAB-S02R2_154	2	0	1	0	1	0	0	0
AAB-S02R2_156	2	0	0	0	0	0	0	0
AAB-S02R2_159	2	1	0	2	1	0	0	0
AAB-S02R2_166	2	3	0	3	1	0	2	0
AAB-S02R2_169	2	2	0	2	1	0	0	0
AAB-S02R2_172	6	0	0	1	0	2	1	0
AAB-S02R2_186	4	3	1	0	1	0	0	0
AAB-S02R2_19	2	0	3	1	1	0	0	0
AAB-S02R2_196	1	0	0	0	0	0	0	0
AAB-S02R2_202	2	2	0	1	1	0	0	0
AAB-S02R2_212	1	2	2	0	0	0	0	0
AAB-S02R2_22	2	1	0	1	1	0	0	0
AAB-S02R2_24	2	0	0	3	1	0	0	0
AAB-S02R2_26	1	1	0	0	1	0	0	0
AAB-S02R2_43	1	0	0	0	1	0	0	0
AAB-S02R2_44	1	1	1	0	1	0	1	0
AAB-S02R2_49	3	1	0	1	1	0	4	0
AAB-S02R2_56	2	1	0	0	1	1	0	0
AAB-S02R2_70	1	0	0	0	1	0	0	0
AAB-S02R2_71	3	2	1	1	1	0	0	0
AAB-S02R2_79	3	1	2	1	1	0	2	0
AAB-S02R2_8	2	0	0	0	0	0	0	0
AAB-S02R2_96	2	0	0	0	0	0	0	0
AAB-S02R3_11	1	1	0	0	0	0	0	0
AAB-S02R3_120	2	2	0	2	0	1	0	0
AAB-S02R3_136	2	1	1	0	1	0	0	0
AAB-S02R3_152	1	2	2	1	1	0	0	0
AAB-S02R3_165	2	1	0	0	1	0	0	0
AAB-S02R3_167	4	1	2	0	0	2	0	0
AAB-S02R3_201	2	0	0	0	0	1	0	0
AAB-S02R3_207	2	1	0	1	0	0	0	0
AAB-S02R3_233	2	1	0	2	1	1	0	0
AAB-S02R3_242	3	0	0	2	1	0	1	0
AAB-S02R3_280	1	0	2	3	1	0	0	0
